,nooffloors,NATIONAL_RISK_INDEX,FLOODING_RISK_SCORE,POPULATION,MEDIAN_HHI,MEDIAN_HV,PCT_UNINSURED,UNEMPLOYMENT_RATE,transport_warehouse_employment_pct,closest_shipping,buildingage,nra,singletenant,IS_URBAN,IS_SUBURBAN,IS_RURAL,IS_LEED_CERTIFIED,IS_ESTAR_CERTIFIED,noi_per_sqft
Property 49,1,20.93446568,22.43053371,2179282,87182,368258,0.123422323,0.043981571,0.022968311,30.13680438,23,175000,0,0,1,0,0,0,32.19930385
Property 50,1,19.94075703,13.7736155,6293669,73357,277109,0.165051093,0.053968482,0.097831768,2.975792276,13,67291,0,1,0,0,0,0,32.05911631
Property 51,1,0,0,6580407,74654,289968,0.160161574,0.053980021,0.088231127,1.663103288,5,223800,0,0,0,0,0,0,38.31330033
Property 52,1,16.88718618,7.268456969,6447814,74798,292306,0.159948016,0.053645225,0.075144593,0.685776874,19,394489,1,0,1,0,0,0,33.43222953
Property 53,1,20.45497384,12.89860999,5252207,77209,302472,0.161345672,0.051806575,0.049784566,4.663919003,15,236142,0,1,0,0,0,0,35.96448878
Property 54,1,19.9033823,7.927763967,6294148,74052,286808,0.160548579,0.053968361,0.094713658,19.17876334,15,429057,0,0,1,0,0,0,29.80708839
Property 55,1,0,0,6570988,74663,290167,0.160182979,0.053964526,0.082023868,2.970336686,13,1279024,1,0,0,0,0,0,30.34796822
Property 56,1,34.70431744,0,5342615,68234,240236,0.185693568,0.0669388,0.035658361,3.260631285,18,186591,0,0,1,0,0,0,28.02099768
Property 57,1,40.97281627,60.58785236,5991762,71517,244634,0.177487344,0.065357572,0.046317311,2.664554273,23,69300,0,0,1,0,0,0,13.6394155
Property 58,1,19.04660187,13.79965383,4214072,74334,294722,0.127359735,0.037275755,0.034820055,4.946013274,7,320000,0,0,1,0,0,0,30.58713491
Property 59,1,0,0,2050989,69020,238018,0.086119699,0.041373547,0.059202615,2.966904402,3,827560,1,0,0,0,0,0,27.34829839
Property 60,1,0,0,2048059,69062,238100,0.086116012,0.041347581,0.059493274,6.635534739,1,184453,0,0,0,0,0,0,25.78157437
Property 61,1,20.1521142,22.39659588,1337931,59921,205232,0.050421612,0.041252725,0.122790575,6.248236303,9,260400,0,1,0,0,0,0,19.67301578
Property 62,1,20.1521142,22.39659588,1338813,59932,205283,0.050448902,0.041250304,0.128786593,22.55434,17,187648,0,1,0,0,0,0,16.58855785
Property 63,1,19.04660187,13.79965383,4238754,74311,294623,0.127415617,0.037273527,0.034351364,0.866626015,25,251091,1,0,1,0,0,0,35.28109093
Property 64,1,46.9345223,1.27771959,11773782,78938,729174,0.092613484,0.088632968,0.063004295,27.95851626,37,348616,1,0,1,0,0,0,66.07297886
Property 65,1,13.15505731,16.14670425,4314696,93057,564645,0.029435958,0.050013322,0.028162922,22.10338105,24,521856,0,0,1,0,0,0,60.53143509
Property 66,1,17.1472964,16.91789239,15212411,81132,598188,0.076650646,0.08456561,0.124699975,6.665367376,19,83981,1,1,0,0,0,0,58.19013726
Property 67,1,11.6278293,12.12007053,15167981,81103,597988,0.076683974,0.084738461,0.132207508,5.57000975,23,1148890,0,0,0,0,0,0,57.75963298
Property 68,1,15.54205548,16.16094905,4796308,85287,448676,0.068878087,0.068803045,0.084740823,13.99115772,4,491089,0,0,1,0,0,0,40.89630636
Property 69,1,17.85562007,16.97109045,8156444,86191,537777,0.07261462,0.077176266,0.109594389,10.05339233,50,287270,1,0,1,0,0,0,58.20069541
Property 70,1,14.25405769,7.26871122,1629654,72225,346720,0.089984852,0.035541197,0.080008998,21.42334752,22,190380,0,0,1,0,0,0,31.88101264
Property 71,1,0,0,6513418,74635,287992,0.159984044,0.05374952,0.095671667,22.26922471,32,459070,0,0,0,0,0,0,24.96049472
Property 72,1,19.04660187,13.79965383,4169701,74454,295951,0.127087014,0.037207741,0.034366941,3.926066604,20,112862,0,0,1,0,0,0,33.05444683
Property 73,1,14.25405769,7.26871122,1628258,72245,346827,0.089976506,0.035549492,0.080008998,2.122724468,46,191018,0,0,1,0,0,0,33.19234004
Property 74,1,15.25517174,12.12929249,1941825,64765,206955,0.079199186,0.038060818,0.030116708,5.65129882,6,514603,0,0,1,0,0,0,20.27366857
Property 75,1,34.70431744,0,5347023,68257,240243,0.185636374,0.066926473,0.035829945,3.781282936,24,51718,1,0,1,0,0,0,25.93681556
Property 76,1,31.10137713,17.57654121,2419952,76771,464331,0.05892564,0.050002332,0.064408976,2.881476731,35,140634,0,0,1,0,1,0,45.8666043
Property 77,1,52.7908059,19.54476224,4812236,123271,1632932,0.040239505,0.050340334,0.034595191,3.565583238,3,183000,0,0,1,0,0,0,176.4039718
Property 78,1,33.34689543,9.562949014,11616367,80430,727111,0.090319653,0.085847415,0.046234572,6.49631374,24,891600,1,0,1,0,0,0,75.68673369
Property 79,1,10.39246635,0,4577260,68341,338785,0.103180678,0.051812139,0.044809893,13.16259968,41,950000,0,0,1,0,0,0,30.088975
Property 80,1,15.25517174,12.12929249,1941652,64763,206954,0.079202698,0.038061452,0.029655404,4.36996355,3,86600,0,0,1,0,0,0,24.71281112
Property 81,1,60.09361954,17.98522593,3606456,92417,601907,0.05371842,0.049124346,0.081812659,1.079307414,23,81823,0,0,1,0,0,0,59.82346072
Property 82,1,43.43456183,6.140479197,3309194,92257,593384,0.053942536,0.050733305,0.086183707,0.205685146,24,129000,0,0,1,0,0,0,60.95353032
Property 83,1,10.51012842,5.8884705,1278126,85341,340981,0.048550529,0.053502294,0.075967987,24.36914206,5,84000,1,0,1,0,0,0,41.49237393
Property 84,1,24.88616869,11.4108737,1533012,76347,408396,0.060277096,0.056273958,0.038499997,4.465665217,14,167411,1,0,1,0,0,0,43.41684775
Property 85,1,39.50586223,28.85596338,2442792,62477,203071,0.188735104,0.078245934,0.086996236,1.250307755,6,62476,1,0,1,0,0,0,18.02485789
Property 86,2,39.31821557,21.28863645,5893327,117450,1347678,0.042619985,0.052774774,0.065291153,4.170406319,26,601528,0,0,1,0,0,0,141.7903574
Property 87,1,0,0,2075221,69121,238085,0.085495207,0.041017036,0.061181386,22.62873348,21,307970,0,0,0,0,0,0,23.07232169
Property 88,1,33.38131736,10.9247874,5760780,83980,577959,0.08531437,0.072391807,0.126397774,8.313814812,12,100051,1,0,1,0,0,0,56.29899702
Property 89,1,33.38131736,10.9247874,5665267,83887,575211,0.085202422,0.072242589,0.129887639,7.035825842,32,61360,1,0,1,0,0,0,66.71707611
